02-Mar-2018 11:02:52

Rotor = T-Motor 18 inch    Motor = Scorpion SII-4020-420KV    Rotation = CCW

Tunnel RPM = 550.0    AoA = 0 deg   Motor Speed = 3000 rpm

Scan Rate = 2000 Hz   Number of Readings = 5000   Pressure = 29.58 inHg  

  Time(s)       Temp(f)    Velocity(m/s)    Position(deg)     Fx(N)         Fy(N)         Fz(N)        Tx(Nm)        Ty(Nm)       Tz(Nm) 
  0.155589     73.791885      12.261981       94.540574     -1.095894      6.748284      17.165770      0.066495     -0.558689    -0.321887  
  0.155973     74.454731      12.270899       104.283207     -8.832197      6.759591      18.373253      0.325073     -0.581699    -0.226889  
  0.156354     73.570937      12.263343       113.196173     -17.529674      1.467160      9.092089      0.487999     -0.566407    -0.087070  
  0.156735     73.602498      12.263706       122.369894     -17.404907      0.682907      10.262996      0.706976     -0.612441    -0.249323  
  0.157117     73.413116      12.261528       131.069519     -18.494830     -4.507879      10.744681      0.888305     -0.574488    -0.339902  
  0.157496     73.349983      12.262103       140.053596     -11.549222     -11.293865      10.191475      0.975553     -0.638273    -0.288499  
  0.157878     73.002779      12.256808       148.373944     -4.534317     -10.944796      15.737236      1.095308     -0.623601    -0.162846  
  0.158259     72.529316      12.318735       158.732911      7.665872     -16.072841      5.126733      1.048693     -0.798988    -0.121656  
  0.158641     72.403061      12.239510       167.503647      4.534808     -11.672160      10.236758      1.029266     -0.645967    -0.212761  
  0.159023     73.002779      12.235994       177.056645      7.002942     -6.861502      4.675779      1.023583     -0.640663    -0.359228  
  0.159404     73.065907      12.235417       186.111842      1.368713     -5.369538      12.709766      0.868524     -0.476989    -0.236600  
  0.159788     73.065907      12.231509       194.835165     -3.037794     -0.496019      12.155944      0.802189     -0.339870    -0.152607  
  0.160169     73.129034      12.216591       203.961482      0.391466     -7.626843      24.299532      0.600844     -0.229311    -0.167477  
  0.160550     73.570937      12.216435       212.945559     -1.548218     -0.564275      17.664960      0.538051     -0.191979    -0.365195  
  0.160932     73.413116      12.213322       221.882223      3.951970     -0.870500      18.479451      0.421494     -0.229480    -0.289773  
  0.161312     73.223728      12.204625       230.676683      9.068621     -1.270600      16.943827      0.250848     -0.346526    -0.220916  
  0.161694     73.129034      12.197010       238.854792      13.203600      8.700602      17.964098      0.274667     -0.394971    -0.066860  
  0.162075     73.192161      12.196425       249.284860      16.205203      3.719750      12.208995      0.119924     -0.547875    -0.307619  
  0.162458     73.823446      12.197109       258.268955      12.332724      13.112201      12.953242      0.159522     -0.545657    -0.358964  
  0.162842     73.570937      12.179826       267.110793      5.477200      11.576450      13.835499      0.215086     -0.521234    -0.259098  
  0.163224     73.507804      12.188268       276.284523     -3.648504      8.291389      10.149207      0.320270     -0.536596    -0.161600  
  0.163607     73.539370      12.176847       284.604871     -8.879312      8.611211      15.705529      0.537892     -0.542929    -0.186368  
  0.163987     73.697191      12.173408       293.162266     -18.476987      2.251975      14.476002      0.644525     -0.469179    -0.307838  
  0.164368     73.539370      12.170297       302.691576     -19.113963      0.955603      10.677736      0.865263     -0.519322    -0.349766  
  0.164750     73.444676      12.177075       311.651928     -17.609969     -4.425595      10.327072      1.007172     -0.549648    -0.175909  
  0.165127     72.876525      12.157490       320.493784     -11.982232     -15.795580      9.652643      0.997211     -0.579535    -0.064798  
  0.165519     72.971213      12.157261       329.904561     -2.563868     -10.216419      14.698404      1.145282     -0.543361    -0.241848  
  0.165887     73.129034      12.166923       338.912327     -0.492710     -15.389917      7.655875      1.048591     -0.579138    -0.380592  
  0.166257     72.939652      12.078025       347.920128      2.006453     -9.418762      11.259059      1.007977     -0.511438    -0.178907  
  0.166629     72.876525      12.166658       356.453835      8.273280     -6.492228      13.765914      0.876135     -0.550652    -0.155045  
  0.167000     73.065907      12.177983       5.055320      3.320255     -3.431792      10.355602      0.700250     -0.435341    -0.210399  
  0.167373     73.318422      12.180869       14.110517     -0.025319     -0.577082      11.119523      0.619480     -0.309059    -0.330480  
  0.167745     73.160601      12.185606       23.260531     -2.532863     -4.987522      16.665775      0.389269     -0.177561    -0.284318  
  0.168117     73.318422      12.195256       31.604588     -2.946713     -2.849963      15.543080      0.218387     -0.135654    -0.149336  
  0.168486     73.570937      12.200759       41.347218      1.259239      0.077123      18.256010      0.107734     -0.146614    -0.193376  
  0.168860     73.507804      12.200037       50.189074      11.085585      4.675055      16.012567      0.032109     -0.311763    -0.305988  
  0.169234     73.539370      12.344638       59.362794      11.698818      8.365615      17.303113     -0.026146     -0.369914    -0.305270  
  0.169604     73.507804      12.215712       68.228352      13.533096      9.306109      11.066529     -0.134957     -0.499263    -0.169920  
  0.170033     73.634064      12.217158       77.378371      8.324365      10.721518      15.964826     -0.089040     -0.460847    -0.266970  
  0.170663     73.855013      12.223606       86.315044      1.925753      11.858708      12.225038      0.008835     -0.489756    -0.317229  
  0.171184     73.791885      12.230713       94.516868     -0.720638      8.461828      16.645552      0.136349     -0.572579    -0.297925  
  0.171653     73.791885      12.212435       103.975040     -9.510603      7.985767      18.554122      0.387568     -0.557046    -0.245029  
  0.172136     73.949707      12.225996       113.125054     -16.849283      0.550897      9.505065      0.510334     -0.555625    -0.116229  
  0.172545     73.602498      12.231149       121.824679     -17.142790     -0.108360      11.107778      0.746456     -0.596510    -0.238958  
  0.172927     73.507804      12.230063       130.998400     -18.040681     -6.314515      9.541399      0.924617     -0.574641    -0.303579  
  0.173310     73.192161      12.226443       140.148414     -10.706588     -11.078103      11.135246      1.029633     -0.632829    -0.263604  
  0.173691     73.507804      12.232671       149.416960     -4.948531     -13.096476      15.233255      1.103627     -0.609273    -0.222265  
  0.174073     72.182113      12.216152       158.163990      8.291880     -14.745279      4.521809      1.085016     -0.796270    -0.220928  
  0.174454     72.844958      12.227670       166.650266      5.739026     -10.807914      10.339596      1.041776     -0.648257    -0.214607  
  0.174833     72.718704      12.244440       177.175160      7.540466     -9.633244      4.352129      0.967139     -0.644447    -0.233445  
  0.175213     73.034340      12.232449       185.827382      1.118625     -4.270408      12.533838      0.859086     -0.463739    -0.187773  
  0.175596     72.245240      12.222084       194.882578     -3.442573      0.191468      11.538898      0.779512     -0.346272    -0.237056  
  0.175976     73.255295      12.233683       203.961482      0.517369     -6.906705      23.922615      0.553915     -0.244508    -0.240853  
  0.176361     74.012834      12.244982       212.637392     -1.182165      1.195639      18.460262      0.482791     -0.207823    -0.300559  
  0.176748     73.413116      12.238100       221.289613      4.016578     -2.347973      18.370661      0.348632     -0.252859    -0.218472  
  0.177130     73.192161      12.242075       229.918128      9.069533     -1.276198      16.901304      0.229585     -0.358210    -0.301729  
  0.177512     73.413116      12.252423       239.376300      13.029346      9.636987      17.904989      0.236070     -0.412213    -0.153496  
  0.177894     72.844958      12.096716       247.435894      15.565447      3.589274      11.890181      0.045318     -0.568464    -0.225412  
  0.178276     73.507804      12.250908       257.510400      11.399492      14.459190      13.270903      0.129966     -0.560280    -0.260088  
  0.178658     73.634064      12.257564       266.921159      5.295627      11.349006      13.609694      0.183428     -0.542734    -0.295239  
  0.179039     73.507804      12.253511       276.165990     -3.052998      7.666283      11.129884      0.267968     -0.563663    -0.240077  
  0.179419     73.381549      12.250759       284.818212     -9.059475      10.349100      14.073422      0.504396     -0.576849    -0.172909  
  0.179799     73.791885      12.264583       293.731187     -18.896517      3.434514      12.514852      0.643356     -0.500028    -0.241641  
  0.180180     73.823446      12.261042       302.312271     -18.771798      1.040791      11.227227      0.869594     -0.534976    -0.343614  
  0.180561     73.444676      12.257990       310.656326     -17.263014     -5.556802      11.270949      0.997984     -0.562558    -0.246815  
  0.180943     73.034340      12.395475       320.114515     -11.558969     -16.126405      10.163333      1.017527     -0.593469    -0.135825  
  0.181324     72.971213      12.256445       329.240814     -2.815229     -9.947554      13.648494      1.191502     -0.564985    -0.177172  
  0.181709     72.971213      12.259045       337.679695     -1.133860     -16.025038      7.901329      1.082056     -0.566983    -0.293295  
  0.182089     73.034340      12.261070       346.805993      1.427758     -9.304028      12.149893      1.034215     -0.482059    -0.294439  
  0.182470     72.939652      12.262579       357.070133      8.664671     -7.302121      13.919720      0.899153     -0.550682    -0.291505  
  0.182851     72.939652      12.244379       5.055320      3.914902     -3.773154      10.522354      0.735076     -0.439497    -0.143274  
  0.183233     73.034340      12.261070       14.252745      1.036168      0.264223      11.247638      0.649692     -0.308163    -0.173624  
  0.183614     73.413116      12.271926       23.260531     -2.552898     -5.595491      15.527495      0.384004     -0.170498    -0.315783  
  0.183994     73.634064      12.277068       32.173500     -3.132369     -1.847600      14.510009      0.235719     -0.123098    -0.286632  
  0.184374     73.539370      12.268181       41.418333      1.656108     -0.091069      18.556731      0.114835     -0.145249    -0.212651  
  0.184756     73.318422      12.268238       50.568347      10.885529      3.958897      17.556287      0.020567     -0.289379    -0.158963  
  0.185139     73.444676      12.267092       59.173155      11.664892      8.873401      16.671493     -0.031533     -0.348986    -0.242542  
  0.185532     73.507804      12.258716       68.678740      13.572479      9.476063      10.241769     -0.149206     -0.489187    -0.295939  
  0.186013     73.728752      12.293740       77.449481      8.934404      10.886798      15.704347     -0.110744     -0.459030    -0.326609  
  0.186404     73.760319      12.249902       86.409861      1.795296      10.567635      13.345561     -0.037916     -0.465776    -0.205833  
  0.186809     73.791885      12.241144       95.228010     -1.406367      9.137841      16.438961      0.105843     -0.531091    -0.190410  
  0.187227     73.949707      12.236435       104.093563     -9.361492      9.044764      18.063941      0.359201     -0.549503    -0.314865  
  0.187718     73.665625      12.226656       113.290990     -15.969563      0.463858      10.829620      0.461225     -0.556021    -0.230245  
  0.188153     73.602498      12.214186       122.203957     -16.598393     -0.426594      11.994084      0.685240     -0.582113    -0.179908  
  0.188529     73.507804      12.207877       131.164337     -18.356546     -5.813917      8.753469      0.876398     -0.560919    -0.187689  
  0.188931     73.160601      12.202596       140.290644     -11.062391     -9.615797      9.837860      1.002111     -0.626197    -0.262117  
  0.189332     72.876525      12.137823       149.511768     -4.822841     -12.201167      15.035776      1.066600     -0.613333    -0.307025  
  0.189734     72.592443      12.184335       158.306211      7.735006     -15.672177      4.970396      1.030887     -0.786718    -0.239519  
